session_id,utterance_id,role,content,timestamp
mbdhedb,0,tutor,Hello? Hello? Hello? [unclear],00:00:00
mbdhedb,1,tutor,"Hi Kieran, can you hear me?",00:00:09
mbdhedb,2,student,Yes.,00:00:11
mbdhedb,3,tutor,"Alright, how are you doing, Kieran?",00:00:13
mbdhedb,4,student,Good.,00:00:16
mbdhedb,5,tutor,That's great. How has the day been?,00:00:18
mbdhedb,6,student,Amazing.,00:00:21
mbdhedb,7,tutor,"Ah, that's great. So did anything interesting happen today, Kieran?",00:00:23
mbdhedb,8,student,No. [unclear],00:00:29
mbdhedb,9,tutor,Just the usual day. Uh-huh.,00:00:31
mbdhedb,10,student,"I had observation and we were like looking at different flowers. Wow, that must have been interesting. So what flowers did you get to look at, Kieran?",00:00:33
mbdhedb,11,student,[unclear],00:00:47
mbdhedb,12,tutor,"Oh, okay. What else? What's your favourite flower, by the way?",00:00:48
mbdhedb,13,student,Tulips.,00:00:54
mbdhedb,14,tutor,"Tulips. What colour? I mean, what tulip do you like? I mean, what's the favourite colour that you like in tulips?",00:00:56
mbdhedb,15,student,"Pink and purple. Pink and purple, that should be really beautiful. So did you get to see tulips today?",00:01:03
mbdhedb,16,student,Yes.,00:01:11
mbdhedb,17,tutor,"Ah, that's why you're happy. Is it, Kieran?",00:01:12
mbdhedb,18,student,Yes.,00:01:20
mbdhedb,19,tutor,"Alright, great. So, um, alright. So have you got any plans for your summer holiday, Kieran?",00:01:21
mbdhedb,20,student,I might go to Turkey.,00:01:35
mbdhedb,21,tutor,"Awesome! When are you planning to go, Kieran?",00:01:39
mbdhedb,22,student,In the summer holidays.,00:01:43
mbdhedb,23,tutor,That's cool. So have you got any plans to what you're gonna do in Turkey?,00:01:44
mbdhedb,24,student,"Um, not really yet.",00:01:52
mbdhedb,25,tutor,"Uh-huh. By the way, what are the other countries that you have traveled to? I've been to Florida.",00:01:57
mbdhedb,26,tutor,Uh-huh.,00:02:05
mbdhedb,27,student,"Um, I've been to France.",00:02:05
mbdhedb,28,tutor,"Oh, so you went to Eiffel Tower as well?",00:02:10
mbdhedb,29,student,Yeah.,00:02:12
mbdhedb,30,tutor,"Okay, so how was it?",00:02:14
mbdhedb,31,student,Good.,00:02:16
mbdhedb,32,tutor,"All right, nice. Where else have you gone?",00:02:17
mbdhedb,33,student,I've been to Pakistan.,00:02:21
mbdhedb,34,tutor,"Uh-huh, that's nice.",00:02:23
mbdhedb,35,student,And that's it.,00:02:26
mbdhedb,36,tutor,"Alright, that's a lot of countries, Kieran. So what was your favorite country so far that you have traveled to?",00:02:28
mbdhedb,37,student,France.,00:02:35
mbdhedb,38,tutor,"France. Alright, awesome, Kieran. I hope you have a great time at Turkey.",00:02:37
mbdhedb,39,student,Thank you.,00:02:44
mbdhedb,40,tutor,"No worry, Kieran. Alright, shall we get started with our lesson for today?",00:02:45
mbdhedb,41,student,Yes.,00:02:50
mbdhedb,42,tutor,"Alright, so today's lesson is about countries. Comparing numbers up to 2 decimal places using money. So we're going to learn how we can compare money. So can I go ahead and try this learning goal question? [unclear] I see that you have tried the question. All right, why do you think £5.25 is greater than £5.40?",00:02:52
mbdhedb,43,student,[unclear],00:03:25
