session_id,utterance_id,role,content,timestamp
fvpkiif,0,background,[unclear],00:00:00
fvpkiif,1,tutor,Hello?,00:00:00
fvpkiif,2,student,Hello?,00:00:02
fvpkiif,3,tutor,Hello?,00:00:04
fvpkiif,4,student,Hello?,00:00:05
fvpkiif,5,tutor,Hello?,00:00:06
fvpkiif,6,student,Hello?,00:00:06
fvpkiif,7,tutor,Hello? Can you hear me?,00:00:08
fvpkiif,8,student,Hello? Yes.,00:00:10
fvpkiif,9,tutor,"Okay, great. How are you doing?",00:00:12
fvpkiif,10,student,"Good. Good, awesome. How was the holiday for you?",00:00:13
fvpkiif,11,student,Good.,00:00:18
fvpkiif,12,tutor,"Good, awesome. So before the holiday, we were doing this lesson. Do you remember what we did about common denominators? [unclear] Shall we try this question for you to recall what we did?",00:00:19
fvpkiif,13,student,Yes.,00:00:42
fvpkiif,14,tutor,Yeah? Can you try it by yourself first? [unclear],00:00:43
fvpkiif,15,tutor,Could you tell me why you think this is bigger?,00:01:16
fvpkiif,16,student,Because 3 is bigger than 1 and 12 is bigger than 3.,00:01:19
fvpkiif,17,tutor,"Do you remember when we have different denominators, we find a common denominator to compare them? [unclear] So how do you find a common denominator for 3? And 12?",00:01:26
fvpkiif,18,student,"Um, so let's see if 3— no, if 12 is in the 3 times table.",00:01:43
fvpkiif,19,tutor,Exactly. So what should be the common denominator then?,00:01:51
fvpkiif,20,student,"Um, 1, um, 12.",00:01:56
fvpkiif,21,tutor,"12 would be the— yeah, 12 would be the denominator. So we have to convert 1/3",00:01:59
fvpkiif,22,tutor,Okay.,00:02:08
fvpkiif,23,student,You can't forget [UNCLEAR].,00:02:08
fvpkiif,24,tutor,And we have to find the equivalent fraction for 1/3 equals— what's the next?,00:02:08
fvpkiif,25,student,Yes.,00:02:17
fvpkiif,26,tutor,How do we do this? How do we find the numerator if the denominator is 12?,00:02:18
fvpkiif,27,background,"When rounding, it's [UNCLEAR].",00:02:23
fvpkiif,28,student,Can't remember.,00:02:23
fvpkiif,29,tutor,"Okay then, shall we try to record it first and then move on to the questions?",00:02:28
fvpkiif,30,student,OK.,00:02:35
fvpkiif,31,tutor,Yeah. I'll quickly take you through the questions we did last time. Could you read this one over here? [unclear],00:02:36
fvpkiif,32,student,Fractions are much easier to compare when the denominators are the same.,00:02:45
fvpkiif,33,tutor,"Yes, we usually don't compare fractions if they have different denominators, like this warm-up question. We have to convert them into the same fraction.",00:02:50
fvpkiif,34,tutor,"Yes. In this example, how many 15s are colored?",00:03:03
fvpkiif,35,student,10.,00:03:14
fvpkiif,36,tutor,"10. And in the next one, how many are colored?",00:03:14
fvpkiif,37,background,[unclear],00:03:17
fvpkiif,38,student,9.,00:03:20
fvpkiif,39,tutor,"9, exactly. Which one is larger, 10 out of 15 or 9 out of 15?",00:03:22
fvpkiif,40,student,10.,00:03:26
fvpkiif,41,tutor,"10. Because we have the same denominator, we can easily compare the the numerator, the top numbers.",00:03:26
fvpkiif,42,student,Yeah.,00:03:35
fvpkiif,43,tutor,Yeah. Could you read that over here?,00:03:36
fvpkiif,44,student,"When we compare fractions with the same denominator, the greater the numerator, the greater the fraction.",00:03:39
fvpkiif,45,tutor,"Yeah. If the denominator is the same, we can look at the bigger numerator. What if— let's look at this question. Can you read this one over here?",00:03:46
fvpkiif,46,background,"Jack says, I have [unclear] two-thirds of the wool.",00:03:55
fvpkiif,47,student,"And Jane says, I have tied up 3/5 of the wool.",00:03:59
fvpkiif,48,tutor,"Now they have— they're using two different denominators. When you compare 2/3 and 3/5, the denominators are different, aren't they? 3 and 5. [unclear] Yeah, so we have to find a common denominator. We do that by finding common multiples. What are multiples of 3?",00:04:04
fvpkiif,49,student,3 and... [unclear],00:04:28
fvpkiif,50,tutor,3 times table?,00:04:34
fvpkiif,51,student,"6, 9, 12, 15.",00:04:38
fvpkiif,52,tutor,"Very good, we'll stop there. Now let's look at the multiples of 5.",00:04:43
fvpkiif,53,tutor,So what's your 5 times table?,00:04:50
fvpkiif,54,student,"5, 10, 15, 20.",00:04:53
fvpkiif,55,tutor,"Yeah, we'll stop there. Do you see a number which you see in both lists?",00:04:58
fvpkiif,56,student,15.,00:05:03
fvpkiif,57,tutor,Very good. So we pick that number as our common multiple because they are in both times tables.,00:05:04
fvpkiif,58,tutor,"We have to rewrite our fraction using the denominator 15. So how do we— yeah, how do we convert 2/3 into 15? Do you remember? Do you remember equivalent fractions? [unclear]",00:05:18
fvpkiif,59,tutor,"We check how many 3s would go into 15, and then we do that same thing on the top number. So 3 times what number is 15?",00:05:44
