session_id,utterance_id,role,content,timestamp
blvqrnw,0,tutor,Hello?,00:00:00
blvqrnw,1,background,[unclear],00:00:00
blvqrnw,2,student,Hello?,00:00:01
blvqrnw,3,tutor,"Hello, can you hear me?",00:00:02
blvqrnw,4,student,You're glitching. How about now? Is it still glitching?,00:00:05
blvqrnw,5,student,No.,00:00:12
blvqrnw,6,tutor,"Okay, that's great. So how was your weekend?",00:00:13
blvqrnw,7,student,Good.,00:00:17
blvqrnw,8,tutor,"Mm-hmm, that's great to know. So today we will be continuing where we stopped in the previous week. All right, so that is going to be the lesson where we were learning about using the 2 times, 5 times, and 10 times table, and you were doing a really good job in this. So let's pick quickly go through the learning goal question and move on to this slide, the third question of this slide. All right, let's go ahead with this.",00:00:17
blvqrnw,9,student,There are 5 chocolates in a box. I have 4 boxes of [UNCLEAR]. How many chocolates do I have altogether? [unclear],00:00:53
blvqrnw,10,tutor,"Alright, but you were able to do this by yourself in both the previous weeks.",00:01:06
blvqrnw,11,student,I forgot.,00:01:15
blvqrnw,12,tutor,"That's totally fine. So let's say that you have 4 boxes of chocolates. Now that's a lot, Gideon. Will you be sharing with me?",00:01:17
blvqrnw,13,student,Yeah.,00:01:27
blvqrnw,14,background,Yeah.,00:01:28
blvqrnw,15,tutor,"Okay, that's fine, that's fine. So now you have 4 boxes of chocolates. Chocolates. Alright. And in each of those boxes, how many chocolates are there? [unclear]",00:01:28
blvqrnw,16,tutor,How many does it say?,00:01:51
blvqrnw,17,student,5 chocolates.,00:01:54
blvqrnw,18,tutor,"Exactly. So now, if you were to eat all those chocolates, how many chocolates will you be eating? [unclear]",00:01:55
blvqrnw,19,tutor,You have 4 boxes of chocolates with 5 chocolates in each.,00:02:17
blvqrnw,20,student,20?,00:02:23
blvqrnw,21,tutor,"There we go. Yes, it's 20. So how did you figure that out?",00:02:28
blvqrnw,22,student,I just [UNCLEAR].,00:02:34
blvqrnw,23,tutor,"All right, that's amazing. You can go ahead and write down the answer. So what you can use instead? We can use a certain times table to use. So what times table would that be?",00:02:34
blvqrnw,24,background,[unclear],00:02:48
blvqrnw,25,tutor,Oh my gosh.,00:02:59
blvqrnw,26,student,I think we have to find out what [unclear] would be the best one.,00:03:01
blvqrnw,27,tutor,"Yes, that's the correct answer. Well done. So if you were to use a times table out of these 3, to work this question out, what will that be?",00:03:16
blvqrnw,28,student,What did you say?,00:03:27
blvqrnw,29,tutor,"If you were to work out the answer for this question using either of these times tables written over here, which one will you use? [unclear]",00:03:29
blvqrnw,30,tutor,"Exactly. We will be using the 5 times table, right? So how will we use the 5 times table to get this answer?",00:03:50
blvqrnw,31,student,[unclear],00:04:06
blvqrnw,32,background,Yeah.,00:04:07
blvqrnw,33,tutor,Okay. I don't see how we can do it using adding. So 5 times what will give us 20 according to the question? What should we do?,00:04:10
blvqrnw,34,student,"Yeah, you can try... [unclear]",00:04:23
blvqrnw,35,tutor,I'm sorry?,00:04:28
blvqrnw,36,student,times...,00:04:28
blvqrnw,37,tutor,"5 times 5, is it? Does 5 times 5 give us 20? [unclear]",00:04:32
blvqrnw,38,tutor,"What will it be? So according to the question, we have 5 boxes— we have 5 chocolates in each box. And how many boxes of chocolates do we have?",00:04:51
blvqrnw,39,student,"1, 2, 3, 4.",00:05:04
