session_id,utterance_id,role,content,timestamp
efjttrz,0,background,[unclear],00:00:00
efjttrz,1,student,Hello?,00:00:00
efjttrz,2,tutor,Hello. [unclear],00:00:09
efjttrz,3,tutor,Hello?,00:00:16
efjttrz,4,student,"Hello, Calliope?",00:00:20
efjttrz,5,tutor,"Hello? Hello, can you hear me?",00:00:23
efjttrz,6,student,Yeah. [unclear],00:00:34
efjttrz,7,tutor,I can't hear you.,00:00:42
efjttrz,8,student,Can you hear me now?,00:00:44
efjttrz,9,tutor,Yeah.,00:00:48
efjttrz,10,student,Okay. All right. How are you doing?,00:00:50
efjttrz,11,background,Good.,00:00:53
efjttrz,12,student,How has the day been so far?,00:00:55
efjttrz,13,background,"Yeah, it's been good.",00:00:56
efjttrz,14,student,"All right. Now, Calliope, shall we get moving to the lesson?",00:00:59
efjttrz,15,student,Yeah. [unclear],00:01:08
efjttrz,16,tutor,Could you read the topic?,00:01:17
efjttrz,17,student,Comparing and ordering fractions.,00:01:20
efjttrz,18,tutor,"Yes, so, Calliope, do you remember we did this lesson in your previous session? [unclear]",00:01:23
efjttrz,19,tutor,We started this lesson in your previous session.,00:01:30
efjttrz,20,student,Yeah.,00:01:33
efjttrz,21,tutor,"And we worked on a question given on the learning board. Let's try it for today as well, then move into the lesson. You read this.",00:01:33
efjttrz,22,student,Okay. Write the fractions in order from smallest to largest.,00:01:41
efjttrz,23,tutor,Mm-hmm. And what are the fractions?,00:01:47
efjttrz,24,student,"2/10, 3/5, and 1/2.",00:01:50
efjttrz,25,tutor,Yeah. Could you order them from smallest to largest? [unclear],00:01:53
efjttrz,26,tutor,Okay. Let me just get a whiteboard.,00:01:57
efjttrz,27,student,Okay. [unclear],00:02:06
efjttrz,28,background,"Sorry, Lysander, what did you say?",00:02:13
efjttrz,29,student,Nothing.,00:02:15
efjttrz,30,background,I need to speak to your mom.,00:02:17
efjttrz,31,tutor,Because that comment that you made was inappropriate. Very inappropriate. [unclear],00:02:21
efjttrz,32,student,Can I get a whiteboard?,00:02:36
efjttrz,33,student,"Okay, I'm back. Let me just— [unclear] [unclear]",00:03:00
efjttrz,34,student,"Okay, so first, it will be",00:03:31
efjttrz,35,student,Let me just write it down. First it will be 2/10.,00:03:37
efjttrz,36,tutor,Mm-hmm.,00:03:43
efjttrz,37,student,Then it would be half.,00:03:46
efjttrz,38,tutor,Okay.,00:03:52
efjttrz,39,student,And then 3/5.,00:03:55
efjttrz,40,tutor,"All right. Okay. Calliope, could you walk me through how you figured it out?",00:04:00
efjttrz,41,student,"So I had to find the common denominator, which was 10. So 5 times 2 is 10, and I have to do the same to the top. So it's going to— 3/5 would be 6/10, and then 1/2 would be 5/10. And then I put them in their original form.",00:04:06
efjttrz,42,tutor,"Okay, all right, so that's right, Calliope. Now this is the order from smallest to largest, and since you have an understanding on how we can compare fractions, let's move on to work on some practice questions itself. We're going to skip the concept slides. [unclear] You read question 1.",00:04:30
efjttrz,43,student,Fill in the missing,00:04:49
efjttrz,44,background,greater than or less than or equal. Write each pair with a common denominator.,00:04:51
efjttrz,45,tutor,"Okay, so Calliope, this time you're going to show your working. You're going to show what the other fraction is, okay?",00:04:58
efjttrz,46,student,"Okay, so I have to show my working on there?",00:05:04
efjttrz,47,tutor,Yes.,00:05:08
efjttrz,48,student,[unclear],00:05:08
efjttrz,49,tutor,"Yeah, go ahead, Calliope. [unclear]",00:05:13
efjttrz,50,student,Yeah. [unclear],00:05:23
efjttrz,51,student,"And then, so they're equal?",00:05:55
efjttrz,52,tutor,Yes.,00:06:05
efjttrz,53,student,"Okay. And question B, can you read the fractions?",00:06:06
efjttrz,54,student,"Yeah, let me just write it in. [unclear] There. So, write each set of fractions with a common denominator, then put them in order from smallest to largest.",00:06:15
efjttrz,55,tutor,"Calliope, we've got another set of fractions here.",00:06:41
efjttrz,56,student,[unclear] Okay.,00:06:43
efjttrz,57,student,So 6/9 is less than 7/9. Let me just write it. [unclear],00:07:16
efjttrz,58,tutor,"Calliope, what was the fraction with a common denominator?",00:07:35
efjttrz,59,student,"Oh, sorry, sorry. [unclear]",00:07:38
efjttrz,60,tutor,"Alright, and question 2. Write each set of fractions with a common denominator, then put them in order from smallest to largest. You don't have to show your workings, as in what you're multiplying it by, but you can just show what the new fraction is going to be next to each of them. Okay?",00:07:44
efjttrz,61,student,Okay.,00:08:16
efjttrz,62,tutor,And you can use the text tool so that it will be easier for you to type your [UNCLEAR].,00:08:16
efjttrz,63,student,Okay.,00:08:20
efjttrz,64,tutor,"Yeah, go ahead. So the first set of fractions, what's the common denominator?",00:08:23
efjttrz,65,student,"Um, 20. [unclear]",00:08:28
efjttrz,66,student,Okay. [unclear],00:08:31
efjttrz,67,student,"And yeah, so first... [unclear]",00:09:34
efjttrz,68,student,"So first, it's... Going to be 1/4. [unclear]",00:09:47
efjttrz,69,student,Pardon?,00:10:02
efjttrz,70,tutor,Is that the smallest fraction?,00:10:05
efjttrz,71,student,"Both of them, yes.",00:10:08
efjttrz,72,tutor,Okay.,00:10:12
