session_id,utterance_id,role,content,timestamp
leilwys,0,background,[unclear],00:00:00
leilwys,1,student,Hello.,00:00:00
leilwys,2,tutor,"Hello, Elara. Can you hear me?",00:00:12
leilwys,3,student,Yeah.,00:00:15
leilwys,4,tutor,"Okay, that's amazing. How was your week?",00:00:16
leilwys,5,student,Good.,00:00:20
leilwys,6,tutor,"Mm-hmm, that's great to know. So today you will learn about comparing numbers with up to 2 decimal places using money. All right?",00:00:22
leilwys,7,student,Hi.,00:00:35
leilwys,8,tutor,So have you worked with money at school?,00:00:36
leilwys,9,student,"Yes, but not a long time ago.",00:00:40
leilwys,10,tutor,"All right, that's totally fine. So this will be a really good brush-up of your memory and this will help us to know more lessons into working with money. All right, so I want you to start off the learning goal question. Can you read this out for me?",00:00:43
leilwys,11,student,Write the correct symbol. [unclear] Biggest to smallest or equal sign to complete the statement.,00:01:04
leilwys,12,tutor,Mm-hmm. So shall we try figuring out what is the larger number out of those two?,00:01:18
leilwys,13,student,Yeah. [unclear],00:01:24
leilwys,14,tutor,"All right. So you think that 5.25 is greater than 5.4, right?",00:01:45
leilwys,15,student,Yeah.,00:01:51
leilwys,16,tutor,Why do you think so?,00:01:52
leilwys,17,student,Because last week was—,00:01:56
leilwys,18,student,[unclear],00:01:58
leilwys,19,tutor,"Mm-hmm. All right. But let me tell you that it's actually 5.4 which is greater than 5.25. And you will learn more about it in the coming slides, all right? So keep in mind that 5.4 is actually greater greater than 5.25. But this is a really common mistake, Elara, and I promise you that you will be able to distinguish between this once we are done with today's lesson. All right?",00:01:58
leilwys,20,student,Okay.,00:02:37
leilwys,21,tutor,"Okay, so shall we try out the prior learning question?",00:02:39
leilwys,22,student,Mm-hmm.,00:02:42
leilwys,23,tutor,Mm-hmm. What does it ask?,00:02:43
leilwys,24,student,Write the amount shown using pound sign.,00:02:47
leilwys,25,tutor,Yes. [unclear] [unclear],00:02:52
leilwys,26,tutor,"All right, so it's 2.6 pounds, is it? Hello? Am I audible to you, Elara?",00:03:24
leilwys,27,student,Yeah.,00:03:41
leilwys,28,tutor,"Mm-hmm. So it's 2.6 pounds, right?",00:03:42
leilwys,29,student,Yeah.,00:03:46
leilwys,30,tutor,"Mm-hmm. But let me tell you, now this would have been correct if we had 60 pennies over here. So let me ask you a question. How many pennies make a pound?",00:03:47
leilwys,31,student,"Um, 10? [unclear] 100?",00:04:03
leilwys,32,tutor,"Exactly, it is 100. So this should be corrected as 2.06 pennies— pounds. All right, you got that?",00:04:08
leilwys,33,student,Yeah.,00:04:23
leilwys,34,tutor,Amazing. So let's learn about this in the coming slide. Can you try reading out what's over here?,00:04:24
leilwys,35,background,"Before comparing money amounts, we need to [Speaker:Elara]...be able to write money using the pound sign. [unclear]",00:04:33
leilwys,36,tutor,"Mm-hmm. So yes, before we compare money amounts, we should have a good understanding about how to write this money using pounds. When we have both pounds and pennies, it's important for us to know how to write them as just pounds. So So that's what we are going to do over here. So let me do the first question and then you can do the rest. All right?",00:04:44
leilwys,37,student,Okay.,00:05:09
leilwys,38,tutor,"First question, we have a £5 bill and 2 coins, which 2 coins of 10 pennies, right? So that means we have— oops, give me a second, my mouse is not working.",00:05:10
leilwys,39,tutor,"Yeah, there we go. So we have 5 pounds, and 10 add 10 gives us 20 pennies. So that means when I convert it to pounds, it's going to be 5.2 pounds. So you can see we can write the 0, but it does not make any effect to the answer, so we can write it without the 0. Is that clear?",00:05:28
leilwys,40,student,Yeah.,00:05:54
leilwys,41,tutor,"Okay, so now you can go ahead with this. You don't have to put the pound sign because it's already there, Elara. There we go. Amazing, it is 5.05. So how did you figure this out this time without going ahead with 5.5?",00:05:56
leilwys,42,student,"So I [unclear] how many 1s there are, and that was 5. But because where it isn't a double digit, it puts it in the",00:06:33
leilwys,43,student,[unclear],00:06:51
leilwys,44,tutor,"Yes, so that was a good explanation over there. But let me break it down like this. So we know— let me get you over here, okay? So we know that £1 is equal to 100 pennies, right? So a few pennies, which is less than 10, is going to be a hundredth of that pound. So that's why it goes in the hundredths place value column. And then we group this to 10 pennies. Then we have 10 pennies. So that means a tenth of a pound is equal to 10 pennies. Is that clear to you?",00:06:51
leilwys,45,student,Yeah.,00:07:37
leilwys,46,tutor,Is that clear enough?,00:07:39
leilwys,47,student,Yes.,00:07:41
leilwys,48,tutor,"Okay, great. Then let's try this. [unclear]",00:07:41
leilwys,49,tutor,"Mm-hmm. Yep, this is correct. It is 2.07. Amazing. And how about the last question on this slide? [unclear]",00:08:09
leilwys,50,student,"Mm-hmm. Yes, so we can either drop the 0 or just write it as it is. Because it's not holding any place value, right?",00:08:19
leilwys,51,student,[unclear],00:08:36
leilwys,52,tutor,Do you see that?,00:08:37
leilwys,53,student,Uh-huh.,00:08:41
leilwys,54,tutor,"We can write this as 3.7 pounds as well. It's not going to make any difference. So let me grab you a praise card on that great effort that you put in, in understanding how to convert money amounts using pounds. So we are moving on to the Let's Learn slide. Can you try reading this out for me, Elara?",00:08:42
leilwys,55,student,"When comparing numbers with up to 2 decimal places, we can think about them as amounts of money.",00:09:06
leilwys,56,tutor,"Yes. So now a good way to know that you have a good understanding when you are comparing decimals up to 2 decimal places is assuming that they are amounts of money. So in this question, we have to compare 1.4 with 1.32. So now I don't want you to write the answer. Let me— you can tell me the answer. Out of these two numbers, what do you think is the greater number?",00:09:14
leilwys,57,student,1.4.,00:09:44
leilwys,58,tutor,There we go. Why do you think so?,00:09:46
leilwys,59,student,Because I remember from earlier that where there is no [unclear],00:09:49
leilwys,60,student,"100, that means it's like, I can't remember why. I just took a random guess and I thought it was 1.4 because with the other one, it's higher, but when you think about it, it's actually less because it's 1 pound and you've got 4 eggs, but in the other, but in the [Speaker:Elara]...is 1.32. It's 1.32 [unclear] so 1.4 is higher?",00:09:54
leilwys,61,tutor,"Mm-hmm. Yes. So we know now, by now, that tenths is greater than hundredths. Because tenths mean dividing the whole into 10 parts and 1 out of that. Whereas hundredths mean dividing the whole into 100 parts and 1 out of 100. That. So tenths is actually greater than hundredths. So we can see that 4 tenths is greater than 3 tenths, which gives us the answer that 1.4 is greater than 1.32. So it's okay if you still don't get it that clearly. Once we do this part, you are gonna have a good understanding about this. All right?",00:10:25
leilwys,62,student,[unclear],00:11:09
leilwys,63,tutor,"Okay. So as you can see, there are two place value charts. And in each of them there are the amounts written using money. We have pounds and we have pennies, as you can see. So in the ones place value column, we have the pounds. And in the tens, we have the 10 pennies. And in the hundreds, we have got the pennies. Alright.",00:11:10
leilwys,64,tutor,So now I want you to try fill both of these rows in both the place value charts. [unclear],00:11:38
leilwys,65,tutor,That's correct. We can either have the zero or not have it. That's fine.,00:12:06
leilwys,66,student,[unclear],00:12:15
leilwys,67,tutor,"Now how about this? We have 1 pound and 3 10 pennies and 2 pennies. Well done. So now can you see that there's actually 40 over here, right? 40 pennies, whereas over here they only have 32. Can you see?",00:12:15
leilwys,68,student,Yeah.,00:12:40
leilwys,69,tutor,Mm-hmm. So what do you think is the greater amount?,00:12:41
leilwys,70,student,1.4?,00:12:46
leilwys,71,tutor,"Yes, it is. You can go ahead, write down the question over here and fill in the blank. [unclear] [unclear]",00:12:48
leilwys,72,tutor,"There we go, well done. Let me give you a tick on that and a praise card. So that new learning over there. So now let me quickly take you to the first slide that we did. Okay. So now what do you think of this answer? Between 5.4 and 5.25, which number is greater?",00:13:25
leilwys,73,student,[unclear],00:13:50
leilwys,74,tutor,Mm-hmm. Now why do you think that 5.4 is greater than 5.25?,00:13:53
leilwys,75,student,"[unclear] 5.25, the 2 is lower than the 4.",00:14:03
leilwys,76,tutor,"Exactly, aha. 2 tenths is 20 pennies, whereas 4 tenths is 40 pennies. So definitely 5.4 is greater than 5.25, right? Amazing explanation over there. And we are heading on to the Follow Me and Your Turn section. So in the Follow Me slide, I will be working out the question and explaining it to you step by step. And afterwards in the Your Turn, we can do a little bit of a role reversal where you are the tutor and you will be explaining to me how to work out the question. Alright?",00:14:07
leilwys,77,student,[unclear],00:14:41
leilwys,78,tutor,"Okay. So let's compare 3.5 and 3.05 using greater than, less than, or equal symbols. So the first step is to write the number as money values and write it in pounds. So we have 2 place value charts like we had previously. And we can see 3.5 over here and 3.05 over here. So let me see. There are 3 pounds and 5 10 pennies, which is going to be 50 pennies in total.",00:14:44
leilwys,79,student,[unclear],00:15:23
leilwys,80,tutor,"And moving on to the next one, we have 3 pounds once again.",00:15:24
leilwys,81,student,And 0 ten pennies and 5 pennies in total.,00:15:29
leilwys,82,tutor,"So now to compare these two numbers, first I will be comparing the pounds. So as you can see in both the numbers, it's got 3 as the pounds, right? So that's not going to be enough for us to compare and know which number is greater since it's the same digit.",00:15:34
leilwys,83,tutor,"Then we move on to the next highest value, which is the 10 pennies. So over here we have 5 10 pennies, and in this number we have only 0. So 5 10 pennies means 50 pennies in total, right? So that's gonna give us that 3.5 is greater than 3.05. [unclear] Was that clear to you, Elara?",00:15:54
leilwys,84,student,Yeah.,00:16:22
leilwys,85,tutor,"All right, then let us move on to the [unclear] section. Before moving on, do you have any questions? Do you have any questions, Elara? Hello? Elara, I cannot hear you. Do we have any questions?",00:16:25
leilwys,86,student,No.,00:16:51
leilwys,87,tutor,"Okay. Let us head on to the Your Turn section. So I want you to read out the question, do it by yourself, and then explain to me how you worked it out. Alright? [unclear] [unclear] [Speaker:Elara]... [unclear] [unclear] [Speaker:Elara]... [unclear] [unclear]",00:16:52
