session_id,utterance_id,role,content,timestamp
nrjemxt,0,student,Hello.,00:00:00
nrjemxt,1,background,[unclear],00:00:00
nrjemxt,2,tutor,"Hi, Kieran. Can you hear me? [unclear]",00:00:05
nrjemxt,3,student,Hello.,00:00:13
nrjemxt,4,tutor,Hello. [unclear],00:00:35
nrjemxt,5,tutor,Hello?,00:01:03
nrjemxt,6,student,Hello. Can you hear me now?,00:01:03
nrjemxt,7,tutor,Yes. I just had to do something. [unclear],00:01:05
nrjemxt,8,student,"Yeah, no, I hear you. So how are you, Kieran?",00:01:11
nrjemxt,9,tutor,I'm good.,00:01:14
nrjemxt,10,student,"Great. All right. So, shall we start the lesson we have today?",00:01:16
nrjemxt,11,student,Yes.,00:01:22
nrjemxt,12,tutor,"Great. All right, so the lesson we have to continue today is rounding numbers to the nearest tenth. All right? [unclear]",00:01:22
nrjemxt,13,tutor,"Okay, so let's cancel [UNCLEAR].",00:02:13
nrjemxt,14,tutor,"Hello, can you hear me?",00:02:44
nrjemxt,15,student,Yes. [unclear],00:02:50
nrjemxt,16,tutor,"Okay, all right. So can you show me here, you had to round up or round down?",00:02:50
nrjemxt,17,student,Round down because it's a [unclear] before 18.,00:02:55
nrjemxt,18,tutor,"Yes, so, and since it's a zero, it's not necessarily true, but you can go with the answer as 2.6. All right, okay, yeah. So since you already have an idea in this chapter, we'll directly move on with the questions. So would you mind doing [unclear] of these questions you have? [unclear]",00:03:02
nrjemxt,19,student,[unclear],00:04:07
nrjemxt,20,student,[unclear],00:04:07
nrjemxt,21,student,[unclear],00:04:07
nrjemxt,22,student,[unclear],00:04:07
nrjemxt,23,student,[unclear],00:04:07
nrjemxt,24,student,"[unclear] So you can use the same strategy again here. Like, since you have a 0, it's not necessary. [unclear]",00:04:07
nrjemxt,25,tutor,One more to go. [unclear],00:06:10
nrjemxt,26,tutor,"Well done. Okay, so would you mind taking me through the reasons for your answer here?",00:06:48
nrjemxt,27,tutor,"So, 0.90 to 50, because you have to add 1 just to get to 450, or 4.5. And that one is 322, and the number doesn't change. So it could be 3.2 or 3.20.",00:06:54
nrjemxt,28,tutor,"So 3.2 would be fine because since, uh, it doesn't make any sense, it's not necessary for us to put. All right, actually, numbers— if it's currency, then it's better to put the zero. All right.",00:07:18
nrjemxt,29,student,Okay.,00:07:33
nrjemxt,30,tutor,And what about this?,00:07:35
nrjemxt,31,student,"Uh, 24.2. [unclear]",00:07:38
nrjemxt,32,tutor,So what's a better way of writing this? What do you think?,00:07:59
nrjemxt,33,student,"So you're adding this, she's taking away the 2, so you have 24 or [unclear]",00:08:13
nrjemxt,34,tutor,"It's better to write the answer. Well, once it's better to write the answer, that's 24. All right?",00:08:21
nrjemxt,35,student,Okay.,00:08:32
nrjemxt,36,tutor,"Great. All right, so now we'll move on with the last one then. What about this?",00:08:35
nrjemxt,37,student,"3.99, you only have to add 1 just to get to 4 because you have 9 there, the other one is here telling you to round up, so round up into 4. There's no point putting the 0 because it should be [UNCLEAR].",00:08:41
nrjemxt,38,tutor,"All right, yes, I think that's the explanation here. So now we'll move on with the last slide we have. [unclear]",00:08:41
nrjemxt,39,student,[unclear],00:08:41
nrjemxt,40,tutor,"Okay. So the answer should be 24.5, isn't it?",00:09:45
nrjemxt,41,tutor,So do you think these two answers will give you 24.5 if you round it to the nearest tens? [unclear],00:09:59
nrjemxt,42,tutor,What do you think?,00:10:19
nrjemxt,43,tutor,"Okay, so can you tell me what actually you understood from this question?",00:11:43
nrjemxt,44,student,"I understood it's around there, it's around 50 to the nearest tenth. [unclear] [unclear]",00:11:49
nrjemxt,45,student,"Okay. So like actually it's something like this, isn't it? Like once you round the price, that should be equal to 24.50. [unclear]",00:12:48
nrjemxt,46,student,Yeah.,00:12:59
nrjemxt,47,tutor,"Yeah, so you have to think of two numbers. If you round those two numbers to the nearest tens, that should give you 24.50. So do you think if you round these two numbers, that's going to give you 24.50? [unclear]",00:13:05
nrjemxt,48,student,Great methods. [unclear],00:13:21
nrjemxt,49,student,"Okay, like, for example, let's take",00:14:08
nrjemxt,50,tutor,"What if I give you the number like this? 23.56, the same number you have. What happens if you round this to the nearest tenth? [unclear]",00:14:14
nrjemxt,51,tutor,"There you go. The same, like, after rounding off, the answer should be 24.50. So in order to get 24.50, what are the numbers you can use? [unclear]",00:14:41
nrjemxt,52,tutor,"Very good. Well done coming up with one possible answer, and you have to think another one. [unclear] [unclear]",00:15:29
nrjemxt,53,student,[unclear] [unclear],00:15:55
nrjemxt,54,student,[unclear] [unclear],00:16:10
nrjemxt,55,tutor,So you can think of another number.,00:16:37
nrjemxt,56,tutor,So can you write the 2 answers here now? [unclear] [unclear],00:17:17
nrjemxt,57,tutor,So now can you tell me like what made you to change your answers and what are the key things you understood here?,00:18:00
nrjemxt,58,tutor,"Because 2256, if you round up, it will equal to 2260. But 2454, you have to round down and the second number doesn't change. So it will be 2450 and the second one 2449. You round up only by one and you'll still get 2450. [unclear]",00:18:06
nrjemxt,59,tutor,"Wow, John. Yes, good reasoning out there and good job in working the questions you have here without giving up. And then now we'll move on to the next lesson.",00:18:35
nrjemxt,60,student,Okay.,00:18:47
nrjemxt,61,tutor,Here you go.,00:18:49
nrjemxt,62,tutor,"So the second lesson we have is multiplying and dividing whole numbers and decimals by 10 and 100. Would you mind reading it, [UNCLEAR]? This is the only word question we have. [unclear]",00:18:56
nrjemxt,63,tutor,"All right, so what do you think about multiplying a number by 100? What does that mean?",00:19:55
nrjemxt,64,student,"Technically, I think another 0 on it because it's already in the [unclear] because you have the 1s.",00:20:05
nrjemxt,65,background,"Okay, so what actually happens to the number? Would the number become bigger or smaller when you times by 100?",00:20:16
nrjemxt,66,student,[unclear],00:20:27
nrjemxt,67,background,"Okay, so do you think from 2.06 to 2.060 the number has become bigger?",00:20:29
nrjemxt,68,student,Because you are doing—,00:20:39
nrjemxt,69,tutor,"I mean, like, has the number— I mean, do you think the number has become bigger?",00:20:42
nrjemxt,70,student,"Yeah, because now you have two 10s in the box, and you have another zero, because now it's 2,000.06 hours.",00:20:48
nrjemxt,71,tutor,"Okay, all right. So actually, Kieran, the two numbers you have here are the same. All right, because 2.06 is the same as 2.060, because the zero you have over here doesn't carry any value. Did that make sense?",00:21:04
nrjemxt,72,student,Yeah.,00:21:33
nrjemxt,73,tutor,"Yeah, all right. But that's again, it's completely all right. It's a very good try. Actually, the answer for this, it's going to be 206. All right, we'll discuss this, how this works. Okay, all right. So before that, would you mind making sure this [unclear] question?",00:21:34
nrjemxt,74,tutor,So can you write the number you have over here first? [unclear],00:21:58
nrjemxt,75,tutor,"What is the number you have in the 10? [unclear] Okay, so now what happens if you divide this number by 10? [unclear]",00:22:51
nrjemxt,76,tutor,"Okay, good try. So what actually happens when you divide a number by 10? Would the number become bigger or smaller? [unclear]",00:23:51
nrjemxt,77,tutor,"Well then, so the number becomes smaller. So from 4.12 to 412, the number has become bigger, isn't it? Yeah, all right. So actually the answer is going to be like, since you are going to divide by 10, we have to move the digits one place to the left— I'm sorry, to the right. All right, and the other point is in the tens column we have 4, and in the ones column we have 1, and in the tens column we have 2. Therefore, the answer would be 4192. All right. [unclear] Is the point clear? [unclear]",00:24:05
nrjemxt,78,tutor,"Yeah, and then when you divide by 10, what happens is the digits move one place to the right. So for the 4, 4 goes to the ones, the 1 goes to the tenths, and the 2 goes to the hundredths. So the answer would be 4.12. Are you clear with this?",00:24:57
nrjemxt,79,student,Yes.,00:25:22
nrjemxt,80,tutor,"Okay, great. All right, so we'll look into this one now. So here we have one more. So they already told you. Okay, so we have to understand how the digits work. So if you have something in the ones column, for example, let's say we have 1 in the ones. If you have to make this 1 10 times smaller, we have to move one place to the right. And if you move one place to the left, it means the number becomes 10 times bigger. Is that point clear? [unclear]",00:25:23
nrjemxt,81,tutor,Yes. So would you mind typing this number as well here? [unclear],00:26:10
nrjemxt,82,tutor,What is the value you have?,00:26:33
nrjemxt,83,tutor,"Well done. So just can write it as 3, that's fine. 0.3. Okay, good job. And what about this number now? [unclear]",00:26:42
nrjemxt,84,tutor,"First you can write the number here, and then you can divide it by 2. [unclear]",00:27:22
nrjemxt,85,student,And you can type the number here. [unclear],00:27:47
nrjemxt,86,tutor,So how many tents you have here? Well done. So are you clear with this one now? [unclear],00:28:15
nrjemxt,87,tutor,"Yeah. Okay, great. All right, so we'll move to the next one. Here you go. So would you mind trying this first? So you can use the number you have on this category chart. [unclear]",00:28:30
nrjemxt,88,tutor,"I mean, you can see some numbers are highlighted here, so you can create the number from that.",00:29:19
nrjemxt,89,tutor,"First, you can type the number here as well. Okay, so here, in which column we have this [UNCLEAR]? In which column you have the 6? [unclear]",00:30:05
nrjemxt,90,tutor,Pardon?,00:30:39
nrjemxt,91,student,The 10th column.,00:30:40
nrjemxt,92,tutor,"Well done. So in which column you have the 1? Sorry, 3.",00:30:42
nrjemxt,93,student,Column we have the 3 is in the 1st column. Well done. So 3 ones and 6 tenths would make?,00:30:51
nrjemxt,94,student,3.60.,00:31:06
nrjemxt,95,tutor,"Yeah, so you can type this, 3.6. [unclear]",00:31:06
nrjemxt,96,student,So you can use this number to go ahead with the remaining calculations.,00:31:31
nrjemxt,97,tutor,So do you think the number has become bigger here? What do you think? Has the number got bigger? [unclear] [unclear],00:31:57
nrjemxt,98,tutor,"Yeah, it should become bigger. My question is, from 3.6 to 3.60, do you think the number has got bigger?",00:32:17
nrjemxt,99,student,Yeah.,00:32:30
