session_id,utterance_id,role,content,timestamp
aenolpk,0,tutor,Hello.,00:00:00
aenolpk,1,student,Hello.,00:00:01
aenolpk,2,tutor,"Hi, how are you doing today? [unclear]",00:00:02
aenolpk,3,tutor,"Can you hear me, Elara?",00:00:06
aenolpk,4,student,[unclear],00:00:11
aenolpk,5,tutor,"Hello, is everything okay?",00:00:13
aenolpk,6,student,"You're very quiet, I can't—",00:00:17
aenolpk,7,tutor,"I can hear you, can you hear me? Hello, can you hear me now? Is it better now?",00:00:21
aenolpk,8,tutor,"Okay, you can hear me, is it? Okay. Okay. Okay, I'm very quiet, is it? Okay, can you check your volume? Can you check if your volume is okay?",00:00:37
aenolpk,9,tutor,"Can you turn up the volume on your computer? And your headset? Is it better now? Hello, Elara. If it's better, can you type a yes? [unclear]",00:01:01
aenolpk,10,tutor,"Okay, so all good here, is it? Can you try refreshing your page maybe? Hello, is it better now? Elara, can you hear me now? [unclear] Is it better now? No, is it?",00:01:26
aenolpk,11,student,"It's like really quiet, I can't hear a bit out of that.",00:02:02
aenolpk,12,tutor,"Okay, you check your volume, is it? Hello, is everything okay?",00:02:07
aenolpk,13,tutor,Yes. Can you hear me now? Okay. Yes. [unclear] [unclear],00:02:17
aenolpk,14,tutor,"Hello Elara, is it better now?",00:02:54
aenolpk,15,student,[UNCLEAR],00:02:54
aenolpk,16,tutor,"Oh, is it better now?",00:03:00
aenolpk,17,student,It is.,00:03:04
aenolpk,18,tutor,It's better.,00:03:05
aenolpk,19,tutor,"Okay, then we'll continue, okay? [unclear] Yes. So how is your day so far? How is your day so far? [unclear]",00:03:08
aenolpk,20,student,"Hello, is it back? Better?",00:03:32
aenolpk,21,tutor,Can you hear her?,00:03:35
aenolpk,22,student,Yeah.,00:03:36
aenolpk,23,tutor,"Can you hear me? [unclear] I can hear you. Can you hear me? Okay, that's perfect. Yes. So can you tell me how your day is going so far?",00:03:37
aenolpk,24,student,It's going great.,00:03:56
aenolpk,25,tutor,It's going all right. Perfect. So how was your weekend last week?,00:03:59
aenolpk,26,student,Good.,00:04:05
aenolpk,27,tutor,"Good. So you had a sleepover, isn't it? Yes? Did it go well? Okay, that's perfect then. Shall we continue with our lesson? [unclear] Elara, you can hear me, right?",00:04:06
aenolpk,28,student,Yes.,00:04:31
aenolpk,29,tutor,"Perfect. So what are we going to learn about? [unclear] That's perfect. So I think we went through a few slides last week, isn't it?",00:04:33
aenolpk,30,student,Yes.,00:04:47
aenolpk,31,tutor,"Perfect. So I remember you doing great. If I ask you, 1 metre is how many centimetres? [unclear]",00:04:48
aenolpk,32,tutor,"Can you type in how many centimeters? Sorry? Did you say 100 centimeters? That is right, Elara. That's perfect. You are right. So this is what we went through in our last class, isn't it?",00:04:57
aenolpk,33,tutor,Yes. So we'll move to where we have to start today. Okay. What's this about? [unclear],00:05:25
